cluster,AVG_SUMMER_TEMP,MIN_SUMMER_TEMP,MAX_SUMMER_TEMP
-1,18.472499974999998,10.4,22.5
0,15.833333333333334,11.5,20.5
1,17.52857142857143,14.0,21.1
2,19.422221999999998,17.0,22.0
3,14.583333333333334,7.25,22.0
4,15.9,10.0,21.0
5,18.125,16.0,21.5
6,18.633333333333333,14.5,21.0
7,14.0,7.0,22.0
8,16.26,10.0,21.5
9,16.575000166666666,9.75,21.5
10,16.516666666666666,12.7,20.5
11,18.5,18.5,18.5
13,14.65,9.0,19.5
14,19.6,19.6,19.6
15,17.475,14.0,21.0
16,13.5,9.5,18.5
17,17.200001,17.200001,17.200001
18,17.257142857142856,15.5,19.0
19,15.774999833333332,5.25,21.0
20,15.7400002,12.7,20.3
21,15.275,9.0,20.5
22,17.45,14.4,20.5
23,16.5600002,12.5,19.200001
24,16.6000005,14.0,19.200001
26,16.5,14.1,19.0
27,15.549999999999999,12.0,24.0
28,16.200001,16.200001,16.200001
29,17.700001,17.700001,17.700001
31,16.35,10.5,20.9
32,16.6,16.6,16.6
33,17.433333666666666,14.6,19.200001
34,13.040000000000001,10.0,17.5
35,17.133333333333333,16.5,17.5
36,13.6,9.0,18.0
37,14.5799998,8.5,17.0
38,17.333333333333332,14.5,19.5
39,14.9,9.5,18.5
40,14.725,11.0,18.5
41,14.180000000000001,10.0,17.5
42,16.4,14.5,19.0
44,14.0900002,8.75,17.200001
45,14.80000025,12.0,17.5
46,14.933333333333332,12.3,16.5
47,15.566666333333332,11.8,19.299999
48,16.299999,16.299999,16.299999
49,12.7,9.0,17.5
50,18.05,16.0,19.5
51,15.1,12.8,19.5
52,14.940000000000001,12.5,17.0
53,14.074999833333331,9.1,16.799999
54,12.066666666666668,9.5,16.5
55,14.75,13.2,16.0
56,15.2166665,12.0,17.0
57,16.05,13.5,19.5
58,14.416666666666666,13.0,15.6
59,15.779999800000002,13.5,18.0
60,15.175,13.5,18.0
61,15.3,14.0,17.0
62,16.680000200000002,14.3,17.9
