cluster,AVG_SUMMER_TEMP,MIN_SUMMER_TEMP,MAX_SUMMER_TEMP,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN
-1,18.472499974999998,10.4,22.5,10.4,8.62,12.69
0,15.833333333333334,11.5,20.5,11.36,9.95,12.97
1,17.52857142857143,14.0,21.1,10.24185185185185,9.08,12.89
2,19.422221999999998,17.0,22.0,10.905121951219513,8.73,12.99
3,14.583333333333334,7.25,22.0,10.8,8.91,12.41
4,15.9,10.0,21.0,9.957142857142857,9.08,10.89
5,18.125,16.0,21.5,10.604444444444445,8.88,12.51
6,18.633333333333333,14.5,21.0,10.737307692307693,9.0,13.17
7,14.0,7.0,22.0,10.49,8.98,11.87
8,16.26,10.0,21.5,10.93,8.93,15.41
9,16.575000166666666,9.75,21.5,11.6095,9.2,12.91
10,16.516666666666666,12.7,20.5,11.75206896551724,9.21,13.73
11,18.5,18.5,18.5,11.6525,9.62,13.04
13,14.65,9.0,19.5,11.623333333333333,9.13,13.19
14,19.6,19.6,19.6,12.37375,10.29,13.1
15,17.475,14.0,21.0,11.614444444444445,9.01,13.62
16,13.5,9.5,18.5,11.861,9.4,13.2
17,17.200001,17.200001,17.200001,12.2325,10.37,13.58
18,17.257142857142856,15.5,19.0,11.464468085106384,8.83,13.88
19,15.774999833333332,5.25,21.0,10.462272727272728,9.09,12.58
20,15.7400002,12.7,20.3,12.363809523809524,9.39,13.74
21,15.275,9.0,20.5,12.47181818181818,9.04,13.68
22,17.45,14.4,20.5,10.871666666666668,9.18,12.44
23,16.5600002,12.5,19.200001,12.106,9.27,14.22
24,16.6000005,14.0,19.200001,12.345384615384615,9.75,13.52
26,16.5,14.1,19.0,12.04653846153846,9.48,13.77
27,15.549999999999999,12.0,24.0,12.022307692307692,9.35,14.0
28,16.200001,16.200001,16.200001,11.95142857142857,10.44,13.18
29,17.700001,17.700001,17.700001,12.234285714285715,10.24,13.86
31,16.35,10.5,20.9,11.742666666666667,9.35,13.54
32,16.6,16.6,16.6,12.14,10.03,13.12
33,17.433333666666666,14.6,19.200001,11.952142857142858,9.44,13.9
34,13.040000000000001,10.0,17.5,12.228333333333333,9.58,13.71
35,17.133333333333333,16.5,17.5,12.165000000000001,8.71,14.08
36,13.6,9.0,18.0,12.37875,9.62,13.46
37,14.5799998,8.5,17.0,12.08923076923077,9.68,14.02
38,17.333333333333332,14.5,19.5,11.7025,9.51,13.52
39,14.9,9.5,18.5,12.267407407407408,9.83,13.41
40,14.725,11.0,18.5,11.76,9.5,13.42
41,14.180000000000001,10.0,17.5,12.459999999999999,9.52,15.47
42,16.4,14.5,19.0,11.718,9.39,13.54
44,14.0900002,8.75,17.200001,11.948076923076922,10.35,13.16
45,14.80000025,12.0,17.5,12.056923076923077,9.97,13.56
46,14.933333333333332,12.3,16.5,12.269285714285715,9.93,13.5
47,15.566666333333332,11.8,19.299999,11.988387096774193,9.32,13.54
48,16.299999,16.299999,16.299999,12.525,10.85,13.75
49,12.7,9.0,17.5,12.357647058823531,9.55,13.6
50,18.05,16.0,19.5,11.385405405405406,9.22,15.08
51,15.1,12.8,19.5,11.33375,9.36,12.83
52,14.940000000000001,12.5,17.0,12.112916666666665,9.54,13.83
53,14.074999833333331,9.1,16.799999,11.818372093023255,9.93,13.9
54,12.066666666666668,9.5,16.5,12.102222222222222,9.54,13.28
55,14.75,13.2,16.0,11.790000000000001,9.93,13.61
56,15.2166665,12.0,17.0,11.306,9.32,13.22
57,16.05,13.5,19.5,11.195333333333334,9.19,12.54
58,14.416666666666666,13.0,15.6,12.505714285714287,10.02,14.42
59,15.779999800000002,13.5,18.0,11.8584,9.45,13.77
60,15.175,13.5,18.0,11.62125,9.38,13.66
61,15.3,14.0,17.0,12.090625,9.75,13.36
62,16.680000200000002,14.3,17.9,11.622424242424243,9.4,13.21
